"name","institution","delete"
"Barbara M. Byrne","School of Psychology, university of Ottawa",""
"sggdgsd gsdgsdgsdeg","gesgesgesge",""
"Kirk Blankstein","York University",""
"Thomas V. Perneger","Institute of Social and Preventive Medicine, University of Geneva",""
"Thurman Q","Washington State Univ",""
"Colleen A. Mchorney","{}",""
"asgasgas gas","gasgasgas",""
"Kirk Blankstein","York University",""
"Thurman Q","Washington State Univ",""
"sdgsdgsdgsdg sdgsshsdhs","hshsdhh",""
"hsdhsdhsd hsdhsd","hsdhsdh",""
"Kasim Alli","{}",""
"Rosario Jimenez-Espinosa","University of Granada",""
"Kasim Alli","Clark Atlanta University",""
"C Gan","Cambridge",""
"Nico L. van der Sar","Erasmus University Rotterdam, Rottterdam, The Netherlands",""
"Nico van der Sar","Erasmus University Rotterdam",""
"JP Lynch","Department of Justice, Law and Society, School of Public AffairsThe American UniversityWashington, DC",""
"gsagsag sgsdgsdgs","dgsdgsdgsd",""
"Bernard Delobel","INSA Laboratoire de Biologie Appliquée",""
"Louise Fitzgerald","{}",""
"Louise F Fitzgerald","University of Illinois",""
"JUDITH FREIDENBERG","University of New York",""
"TR Belin","UCLA",""
"Richard Gitelson","Pennsylvania State University",""
"Eran Feitelson","Hebrew University of Jerusalem",""
"Teruhiro Shirakura","Kobe University",""
"T Shirakura",NA,""
"Michael Goodchild","University of California",""
"Catherine Hennessy","University of Stirling",""
"Catherine Hennessy","{}",""
"Carl Rieder","Newport Harbor Academy of Dentistry",""
"E Feitelson","University of Jerusalem",""
"J.A. will","University of Liverpool",""
"fsdfsdf sdfsdfsdf","sdgsdgsd",""
"Richard Gitelson","pennsylvania state university",""
"Richard Gitelson","Pennsylvania State University",""
"Richard Gitelson","Pennsylvania State University",""
"R. L. Chambers","Australian National University",""
"Theodore Fuller","College of Liberal Arts and Human Sciences",""
"Michelle Marks","George MAson University",""
"sdgsd gsdgsdgsd","sdgsdgsd",""
"William Johnson","{}",""
"Vern Bengtson","University of Southern California",""
"dfhfdhd fhdfhdf","hdfhdf",""
"Vern L. Bengtson","University of southern california",""
"KELLY CORBETT","Wake Forest University",""
"R. L. Chambers","Australian National university",""
"N.R Niemeijer","Laboratorium Diephuis BV, Groningen, The Netherlands",""
"John Mackenzie","University of Delawara",""
"fasgegeg egwgwegewg","ewgewgewgewg",""
"l borg",NA,""
"hfhfdhfdh fdhfdhdfhfd","hdfhdfh",""
"R.A. Maller","University of Western Australia",""
"Leslie W. Kennedy","Department of Sociology, The University of Alberta, Edmonton, Canada",""
"Leslie W. Kennedy","The University of Alberta",""
"Anita O'toole","Kent State University",""
"Brandon Applegate","{}",""
"Brandon K. Applegate",NA,""
"Richard M. Barton","University of New Hampshire",""
"Rhonda Wiegman","University of Colorado Health Sciences Center",""
"Leslie W. Kennedy","The University of Alberta",""
"Leslie W. Kennedy","The University of Alberta",""
"Istvàn Szapudi","Cornell University",""
"Robert D. Herman","Cookingham Institute of Public Affairs, Bloch School of Business and Public Administration University of Missouri",""
"Robert Herman","{}",""
"John T.E Richardson","Department of Human SciencesBrunel UniversityUxbridgeUK",""
"John Richardson","{}",""
"Leslie Kennedy","The University of Alberta",""
"John Richardson","Brunel University",""
"hdfhdfhd hdhdfhhdh","hfdhfdhfd",""
"segseg seges","gesgse",""
"Frits Boer","{}",""
"sdgsdgsdg sdgsdgsd","gsdgsdgsd",""
"Frits Boer","N/A",""
"esgsegs gdgsdgsdsdgsd","gsdgsdgsdg",""
"Frits Boer","N/A",""
"Eric L Dey","University of Virginia",""
"María Sánchez-Yélamo","Polytechnic University of Madrid",""
"Patrick Holland","Firebaugh-Las Deltas Unified School District, California",""
"C Bagley,",NA,""
"Christopher Bagley","Faculty of Social Work and Alberta Children's Hospital, University of Calgar",""
"Frits Boer","N/A",""
"{} {}","{}",""
"Frits Boer","N/A",""
"gsdgsdgsdg sdgsdgsdgsdg","sdgsdgsdg",""
"Frits Boer","N/A",""
"gsdgsdgsdg sdgsdgsd","sdgsdgsd",""
"William Doerner","Florida State University",""
"Ahmed Abdel-Khalek","Kuwait University",""
"hdfhdf hdfhdfh","dfhfdh",""
"Ahmed M. Abdel-Khalek","Egypt Kuwait University",""
"Pierre P. Mouly",NA,""
"LJ Greenfield","University of Michigan Hospitals",""
"Thomas Harford","National Institute on Alcohol Abuse and Alcoholism",""
"John Duckitt","University of the Witwatersrand",""
"hdshsdhhsdhsd hsdhds","hsdhsd",""
"Ahmed Abdel-Khalek","Kuwait University",""
"dgsgsdgsdggds gsdgsdgsd","gsdgsd",""
"Ahmed M. Abdel-Khalek","Egypt Kuwait University",""
"Michael Hennessy","Emory University",""
"Barbara M. Byrne","University of Ottawa",""
"Douglas M. Klieger","Villanova University, Villanova",""
"Joann Miller","Purdue University",""
"Joanne Langley Miller","Purdue University, USA",""
"Hamid Pourjalali","University of Southwestern Louisiana",""
"W.L. Adamowiczl","University of Alberta, Edmonton, Canada",""
"Margaret Miller","{}",""
"hdshsdhsdhsd dhshsd","hdshsd",""
"Merrill Hiscock","University of houston",""
"fasfasfas fasfasfasfasfas","fasgergrgreger",""
"James Randall","University of Saskatchewan",""
"Joann Langley Miller","Purdue University",""
"Barbara M. Byrne","University of Ottawa",""
"gesgseg segseg","segsegesgseg",""
"Joann Langley Miller","Purdue University",""
"Sarah Samoluk","{}",""
"hrehreherherh rehrehreh","rherheher",""
"A. Højer Christensen","Hvidovre University Hospital and Sundby Hospital, Copenhagen",""
"Rosalind Murray-Harvey","University of South Australia",""
"gasgasgasgasg sgasgas","gasgasgasgasggg",""
"Chuck Tomkovick","N/A",""
"C Tomkovick","american university",""
"Michael Hennessy","Emory University",""
"Jeffry Will","University of North Florida",""
"gsagasg gsagasg","gasgasg",""
"Chuck Tomkovick","N/A",""
"fasfasfasfas asfasfasfas","fasfasfasfas",""
"{} gesgs","{}",""
"Thomas V.Perneger",NA,""
"Howard H. Goldman","{}",""
"Chuck Tomkovick","University of Wiscon‐sin‐Eau Claire",""
"Berggren Ulf","Göteborg University",""
"Bryan Byers","Valparaiso University",""
"Candace Schau","University of New Mexico",""
"Micheal Hennessy","Emory university",""
"gasgas gasgasg","asgasga",""
"Chuck Tomkovick","N/A",""
"Bert M. Balk","Erasmus University Rotterdam",""
"Douglas A.MacDonald","University of Detroit Mercy",""
"Jack Kleijnen","Tilburg University",""
"Douglas A. Macdonald","Windsor, Ontario, Canada",""
"Bert M. Balk","N/A",""
"Barbara A. Gutek","University of Arizona",""
"Bert M. Balk","N/A",""
"Paticia Frazier","University of Minnesota",""
"Robert D. Herman","Cookingham Institute of Public Affairs, Bloch School of Business and Public Administration University of Missouri",""
"Robert Herman","{}",""
"sdgsdgsd {}","gsdg",""
"Bert M. Balk","{}",""
"Fred Bryant","{}",""
"Fred B. Bryant",NA,""
"M. Tom Basuray","Towson State University",""
